Title,Author,Main Genre,Sub Genre,Price,Rating
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,₹169.00,4.4
"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,₹99.00,4.5
The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,₹175.75,4.6
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,₹389.00,4.6
"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,"Arts, Film & Photography",Cinema & Broadcast,₹348.16,4.5
Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,₹313.95,4.5
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,₹313.95,4.6
Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,"Arts, Film & Photography",Cinema & Broadcast,₹348.16,4.5
Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts, Film & Photography",Cinema & Broadcast,₹850.00,4.5
Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,₹644.52,4.5
One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,₹892.00,4.2
SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,"Arts, Film & Photography",Cinema & Broadcast,₹361.00,4.4
A PRINCESS REMEMBERS (PB),Maharani Gayatri,"Arts, Film & Photography",Cinema & Broadcast,₹572.00,4.5
The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,₹479.00,4.6
Studio Ghibli: The Complete Works,Studio Ghibli,"Arts, Film & Photography",Cinema & Broadcast,"₹2,132.78",4.8
"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,"₹2,612.00",4.7
